building_count,divipola,source,name,department,total_rooftop_sqm,mean_area_sqm,min_confidence_used,computed_at,median_area_sqm
20396,20621,google,LA PAZ,CESAR,1378446.18,67.58,,2026-05-24T02:58:48+00:00,45.09
35,27491,google,NÓVITA,CHOCÓ,2017.56,57.64,,2026-05-24T02:58:48+00:00,53.65
6366,19318,google,GUAPI,CAUCA,534600.86,83.98,,2026-05-24T02:58:48+00:00,70.85
12259,81300,google,FORTUL,ARAUCA,1081622.06,88.23,,2026-05-24T02:58:48+00:00,60.54
3482,05495,google,NECHÍ,ANTIOQUIA,231239.17,66.41,,2026-05-24T02:58:48+00:00,52.98
18390,86865,google,VALLE DEL GUAMUEZ,PUTUMAYO,1663195.46,90.44,,2026-05-24T02:58:48+00:00,71.37
29569,19473,google,MORALES,CAUCA,1854230.27,62.71,,2026-05-24T02:58:48+00:00,43.72
8792,05361,google,ITUANGO,ANTIOQUIA,612211.95,69.63,,2026-05-24T02:58:48+00:00,46.5
8441,70418,google,LOS PALMITOS,SUCRE,475110.41,56.29,,2026-05-24T02:58:48+00:00,45.11
8318,86571,google,PUERTO GUZMÁN,PUTUMAYO,697830.51,83.89,,2026-05-24T02:58:48+00:00,61.97
77890,05837,google,TURBO,ANTIOQUIA,5963327.19,76.56,,2026-05-24T02:58:48+00:00,58.4
6264,18256,google,EL PAUJIL,CAQUETÁ,746278.98,119.14,,2026-05-24T02:58:48+00:00,75.1
7436,86569,google,PUERTO CAICEDO,PUTUMAYO,664930.62,89.42,,2026-05-24T02:58:48+00:00,65.46
21656,05665,google,SAN PEDRO DE URABA,ANTIOQUIA,1626578.16,75.11,,2026-05-24T02:58:48+00:00,56.38
22232,18753,google,SAN VICENTE DEL CAGUÁN,CAQUETÁ,2665768.51,119.91,,2026-05-24T02:58:48+00:00,74.96
10575,54800,google,TEORAMA,NORTE DE SANTANDER,884391.06,83.63,,2026-05-24T02:58:48+00:00,64.22
8823,18247,google,EL DONCELLO,CAQUETÁ,1136020.83,128.76,,2026-05-24T02:58:48+00:00,82.62
